                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1562,                 2.4987,                 1.5256,                0.35509,                0.26887,                0.25233,                0.13241,                 1.3349,                  3.319,                 1.9644,             0.00055017,             0.00055017,             0.00055017
                      1,                 1.2869,                 2.2303,                 1.6278,                0.38826,                0.38935,                0.29336,                0.10505,                 1.9579,                 3.0105,                 2.7124,              0.0010839,              0.0010839,              0.0010839
                      2,                 1.3615,                 2.0541,                 1.6762,                0.19415,                 0.2376,                0.11989,                0.04936,                 2.1049,                 3.3512,                 2.5343,              0.0015957,              0.0015957,              0.0015957
                      3,                 1.4071,                 2.0393,                 1.7181,                0.52462,                  0.425,                0.44666,                0.23826,                 1.6683,                 2.0822,                 2.3642,               0.001568,               0.001568,               0.001568
                      4,                 1.3499,                 1.8925,                 1.6807,                0.47006,                0.42342,                0.38301,                0.23303,                  1.525,                 2.1694,                  2.204,               0.001568,               0.001568,               0.001568
                      5,                 1.3083,                 1.8613,                 1.6324,                0.63044,                 0.4307,                0.47568,                0.29064,                 1.3923,                 1.9217,                 2.0366,               0.001535,               0.001535,               0.001535
                      6,                 1.2517,                 1.7343,                 1.6145,                0.58983,                0.42861,                0.46312,                0.27529,                 1.4096,                  2.221,                 2.0524,               0.001502,               0.001502,               0.001502
                      7,                 1.2197,                 1.6331,                 1.5718,                0.54792,                 0.4387,                0.45638,                0.23954,                 1.4265,                  2.224,                 1.9408,               0.001469,               0.001469,               0.001469
                      8,                 1.1955,                 1.5864,                 1.5496,                0.51812,                0.52239,                0.51752,                0.32969,                 1.2894,                 1.7027,                 1.8185,               0.001436,               0.001436,               0.001436
                      9,                 1.1624,                 1.5438,                 1.5228,                0.66132,                0.56249,                0.58751,                0.37054,                 1.2662,                 1.6561,                 1.7994,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1284,                 1.4682,                  1.491,                0.59599,                0.58045,                0.60808,                0.39026,                 1.1951,                 1.3865,                 1.8009,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1085,                 1.4424,                  1.485,                0.61746,                0.60072,                0.62888,                 0.3958,                 1.2035,                 1.5493,                  1.735,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1032,                 1.4127,                 1.4638,                0.74153,                0.59933,                0.68739,                0.44763,                 1.1941,                 1.3702,                 1.7597,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0781,                 1.3666,                 1.4528,                0.58527,                0.56591,                0.62471,                0.41926,                 1.0897,                 1.4155,                 1.6079,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.0571,                 1.3251,                 1.4417,                0.64515,                0.62614,                0.64476,                0.43578,                 1.1096,                 1.3335,                 1.6806,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0431,                 1.3262,                 1.4277,                 0.7099,                0.64196,                0.70962,                0.46071,                   1.14,                 1.3549,                 1.6631,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0234,                 1.2745,                 1.4051,                 0.6946,                0.67489,                0.73553,                0.50032,                0.99625,                 1.1524,                 1.5217,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.0086,                 1.2419,                 1.3993,                0.74689,                 0.6647,                0.73782,                0.49035,                 1.0319,                 1.2848,                 1.5453,              0.0011389,              0.0011389,              0.0011389
                     18,                0.99045,                 1.2021,                 1.3829,                0.73715,                0.67237,                0.73874,                0.48781,                 1.1095,                 1.2156,                 1.6499,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.0129,                 1.2182,                 1.4023,                0.75023,                0.64037,                0.74229,                0.52041,                 1.0213,                 1.1573,                 1.5223,              0.0010729,              0.0010729,              0.0010729
                     20,                0.97017,                  1.147,                 1.3647,                0.72607,                0.73306,                 0.7621,                0.53252,                 1.0361,                 1.0934,                 1.5639,              0.0010399,              0.0010399,              0.0010399
                     21,                0.95818,                 1.1611,                 1.3659,                0.75418,                0.73295,                0.80429,                0.53671,                 1.0075,                 1.0309,                 1.5448,              0.0010069,              0.0010069,              0.0010069
                     22,                 0.9161,                 1.0966,                 1.3437,                0.73536,                 0.6968,                0.75627,                0.52328,                 1.0099,                  1.081,                 1.5124,             0.00097386,             0.00097386,             0.00097386
                     23,                0.93528,                 1.0857,                 1.3407,                0.78568,                0.64296,                0.72684,                0.51808,                 1.0222,                 1.1857,                 1.5516,             0.00094085,             0.00094085,             0.00094085
                     24,                0.92229,                 1.0831,                  1.338,                0.79001,                0.69236,                0.78793,                0.55693,                0.98219,                 1.0223,                 1.5079,             0.00090785,             0.00090785,             0.00090785
                     25,                0.90208,                 1.0262,                 1.3256,                0.77972,                 0.7177,                0.81425,                0.57703,                 0.9328,                0.99545,                 1.4628,             0.00087484,             0.00087484,             0.00087484
                     26,                0.88857,                 1.0432,                 1.3132,                0.81928,                0.74625,                0.82456,                0.58304,                0.97286,                0.95477,                 1.4822,             0.00084184,             0.00084184,             0.00084184
                     27,                0.90691,                 1.0285,                 1.3197,                0.77849,                0.72432,                0.80265,                0.53739,                 1.0374,                 1.0238,                 1.5997,             0.00080883,             0.00080883,             0.00080883
                     28,                0.89299,                 1.0348,                 1.3149,                0.82764,                 0.7225,                0.85233,                0.60791,                0.93704,                0.92184,                 1.4456,             0.00077582,             0.00077582,             0.00077582
                     29,                0.88123,                0.99763,                 1.3037,                0.84051,                0.73596,                0.85466,                0.61243,                0.92941,                0.90248,                 1.4276,             0.00074282,             0.00074282,             0.00074282
                     30,                0.86522,                0.98297,                 1.2886,                  0.815,                0.73259,                0.83601,                0.59308,                0.94889,                0.94773,                 1.4592,             0.00070981,             0.00070981,             0.00070981
                     31,                0.85463,                0.96279,                 1.2876,                0.83707,                0.75612,                0.83942,                0.59521,                0.90608,                0.89374,                 1.4125,              0.0006768,              0.0006768,              0.0006768
                     32,                0.82638,                0.91711,                 1.2639,                0.80227,                0.76157,                 0.8479,                0.61729,                0.92849,                0.87201,                 1.4378,              0.0006438,              0.0006438,              0.0006438
                     33,                0.81345,                0.89762,                 1.2552,                0.79384,                0.76303,                0.83005,                0.60318,                0.90834,                0.89115,                 1.4187,             0.00061079,             0.00061079,             0.00061079
                     34,                0.82989,                0.91175,                 1.2607,                0.82181,                0.79468,                0.86723,                0.63376,                0.89359,                0.84797,                 1.4056,             0.00057778,             0.00057778,             0.00057778
                     35,                0.81256,                0.89907,                 1.2611,                0.84464,                0.77614,                0.85993,                0.60999,                0.96387,                0.90969,                 1.4706,             0.00054478,             0.00054478,             0.00054478
                     36,                0.80746,                0.87256,                 1.2571,                0.86128,                 0.7891,                 0.8743,                0.63425,                0.90828,                0.87598,                 1.4173,             0.00051177,             0.00051177,             0.00051177
                     37,                0.80969,                0.86635,                 1.2541,                0.84523,                0.78838,                0.87304,                0.63258,                0.91271,                0.86967,                 1.3835,             0.00047876,             0.00047876,             0.00047876
                     38,                0.80025,                0.87205,                 1.2521,                0.84896,                0.73903,                0.85696,                0.61982,                0.87802,                0.85414,                 1.3717,             0.00044576,             0.00044576,             0.00044576
                     39,                0.78625,                0.87057,                 1.2429,                0.83181,                0.79281,                0.87081,                0.63428,                0.92078,                0.82856,                 1.4104,             0.00041275,             0.00041275,             0.00041275
                     40,                0.72641,                0.67448,                 1.2111,                0.83549,                0.80276,                0.87316,                0.64871,                0.86148,                0.81411,                 1.3532,             0.00037974,             0.00037974,             0.00037974
                     41,                0.70009,                0.62996,                 1.1999,                0.85671,                0.81035,                0.89271,                0.66709,                0.87229,                0.80398,                 1.3802,             0.00034674,             0.00034674,             0.00034674
                     42,                0.66502,                0.59488,                 1.1725,                0.85835,                0.80209,                0.90004,                0.66835,                0.84427,                0.77409,                 1.3319,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.6447,                0.56224,                 1.1548,                0.85192,                0.82547,                0.89146,                0.67837,                  0.834,                0.76049,                 1.3486,             0.00028072,             0.00028072,             0.00028072
                     44,                 0.6508,                   0.57,                 1.1494,                0.85094,                0.85211,                0.90653,                0.67597,                0.87516,                0.77738,                 1.3705,             0.00024772,             0.00024772,             0.00024772
                     45,                0.62243,                0.54786,                 1.1281,                0.86516,                0.81872,                0.90083,                0.68307,                0.83864,                0.78645,                 1.3412,             0.00021471,             0.00021471,             0.00021471
                     46,                0.62391,                0.53964,                 1.1442,                0.86667,                0.83181,                0.89602,                0.67584,                 0.8487,                0.76919,                 1.3359,              0.0001817,              0.0001817,              0.0001817
                     47,                0.60624,                0.53195,                 1.1277,                 0.8423,                0.83971,                0.90113,                0.68357,                0.83624,                0.72444,                 1.3503,              0.0001487,              0.0001487,              0.0001487
                     48,                0.59628,                0.50698,                 1.1174,                0.87272,                0.84771,                0.90727,                0.69744,                0.80962,                0.69373,                 1.3209,             0.00011569,             0.00011569,             0.00011569
                     49,                0.58489,                 0.5021,                 1.1133,                0.88561,                0.82926,                0.91244,                0.69745,                0.80651,                0.69738,                 1.3132,             8.2683e-05,             8.2683e-05,             8.2683e-05
